Порядковый номер,Идентификационный номер,Классификация очагов,Год обследования,"Периметр территории очагов,м","Площадь территории очагов,м2"
3743,2109,Без признаков поражения,2017,47.0438232,102.4634323
3744,2110,Действующий очаг,2017,85.0124893,365.6086731
3745,2111,Действующий очаг,2017,479.2194519,1625.1782227
3746,2112,Действующий очаг,2017,59.6404037,202.9126892
3747,2113,Без признаков поражения,2017,87.4893875,257.0979004
3748,2114,Без признаков поражения,2017,190.8409576,1706.2758789
3749,2115,Возникающий очаг,2017,323.985199,3145.9787598
3750,2116,Без признаков поражения,2017,30.8090057,86.1875153
3751,2117,Возникающий очаг,2017,65.5679245,284.9949951
3752,2118,Без признаков поражения,2017,38.8899155,64.8464127
3753,2119,Возникающий очаг,2017,67.3912811,40.4031181
3754,2120,Без признаков поражения,2017,43.9194489,95.8226471
3755,2121,Без признаков поражения,2017,20.2449665,21.1924
3756,2122,Без признаков поражения,2017,51.5559692,188.5293274
3757,2123,Затухающий очаг,2017,21.7609921,25.344635
3758,2124,Возникающий очаг,2017,136.2947693,91.0321732
3759,2125,Без признаков поражения,2017,37.3970642,101.7633667
3760,2126,Без признаков поражения,2017,38.9316826,160.132843
3761,2127,Без признаков поражения,2017,201.3000336,786.197998
3762,2128,Без признаков поражения,2017,49.6435661,189.190918
3763,2129,Без признаков поражения,2017,164.1403809,-2724.6918945
3764,2130,Возникающий очаг,2017,49.4190712,160.2097473
3765,2131,Затухающий очаг,2017,38.6015167,76.391922
3766,2132,Возникающий очаг,2017,30.7405014,37.9425468
3767,2133,Без признаков поражения,2017,18.6266975,13.5877609
3768,2134,Возникающий очаг,2017,37.7306786,13.0836153
3769,2135,Без признаков поражения,2017,37.7937126,83.6294937
3770,2136,Без признаков поражения,2017,43.6985626,72.8574753
3771,2137,Без признаков поражения,2017,39.3279228,14.4068394
3772,2138,Возникающий очаг,2017,32.624382,45.3801575
3773,2139,Возникающий очаг,2017,40.8319359,69.1018448
3774,2140,Возникающий очаг,2017,46.0940399,137.7757568
3775,2141,Без признаков поражения,2017,41.4890709,94.7336578
3776,2142,Возникающий очаг,2017,66.5480499,247.9268341
3777,2143,Без признаков поражения,2017,20.7987194,24.980732
3778,2144,Без признаков поражения,2017,81.9525833,354.0431824
3779,2145,Без признаков поражения,2017,63.7743607,227.3853607
3780,2146,Без признаков поражения,2017,51.5047035,208.6314087
3781,2147,Возникающий очаг,2017,58.1570473,137.8310394
3782,2148,Без признаков поражения,2017,32.9631844,51.5843582
3783,2149,Возникающий очаг,2017,180.907135,490.2518616
3784,2150,Без признаков поражения,2017,58.1826591,210.5191345
3785,2151,Без признаков поражения,2017,50.7132149,27.9386387
3786,2152,Возникающий очаг,2017,143.424118,-31.5362453
3787,2153,Затухающий очаг,2017,28.3900242,32.7963867
3788,2154,Без признаков поражения,2017,34.9919205,38.5907631
3789,2155,Возникающий очаг,2017,200.3066254,-2456.692627
3790,2156,Без признаков поражения,2017,38.8630219,80.0120087
3791,2157,Без признаков поражения,2017,110.0112305,258.6092224
3792,2158,Без признаков поражения,2017,79.123764,118.0441132
3793,2159,Без признаков поражения,2017,30.7694874,65.6458817
3794,2160,Без признаков поражения,2017,20.6595879,30.4001904
3795,2161,Возникающий очаг,2017,148.0254364,346.5759888
3796,2162,Без признаков поражения,2017,46.1844139,189.8939972
3797,2163,Без признаков поражения,2017,15.5359526,11.6021204
3798,2164,Без признаков поражения,2017,41.0703697,132.2718964
3799,2165,Затухающий очаг,2017,20.8694954,22.455101
3800,2166,Без признаков поражения,2017,160.6015625,418.0652161
3801,2167,Возникающий очаг,2017,38.200676,156.6507263
3802,2168,Возникающий очаг,2017,21.9489784,58.9807854
3803,2169,Возникающий очаг,2017,1196.9937744,-87608.6640625
3804,2170,Действующий очаг,2017,419.604187,1434.2064209
3805,2171,Возникающий очаг,2017,197.3446198,6902.6328125
3806,2172,Возникающий очаг,2017,19.6818237,14.1195803
3807,2173,Возникающий очаг,2017,13.2553358,16.0717907
3808,2174,Возникающий очаг,2017,56.1392174,373.6184998
3809,2175,Без признаков поражения,2017,429.4558411,594.9213257
3810,2176,Возникающий очаг,2017,2081.5822754,835288.6875
3811,2177,Без признаков поражения,2017,185.8608856,421.4028625
3812,2178,Возникающий очаг,2017,93.1814423,205.7210083
3813,2179,Возникающий очаг,2017,36.1443863,110.5293655
3814,2180,Возникающий очаг,2017,90.1681747,217.8931427
3815,2181,Возникающий очаг,2017,20.3679581,27.4302521
3816,2182,Возникающий очаг,2017,31.5027351,138.9282379
3817,2183,Действующий очаг,2017,244.4629974,516.4367065
3818,2184,Возникающий очаг,2017,20.610939,44.6008797
3819,2185,Без признаков поражения,2017,727.3344727,3223.3640137
3820,2186,Возникающий очаг,2017,87.296257,242.651535
3821,2187,Возникающий очаг,2017,1145.5369873,-154271.9375
3822,2188,Вырублено,2017,153.8528137,398.1810913
3823,2189,Действующий очаг,2017,68.5901031,41.9971657
3824,2190,Действующий очаг,2017,95.8855133,-1143.3739014
3825,2191,Действующий очаг,2017,30.0979347,21.1864567
3826,2192,Действующий очаг,2017,232.1575623,710.1221313
3827,2193,Действующий очаг,2017,828.4865723,3591.972168
3828,2194,Без признаков поражения,2017,159.7411041,303.9399414
3829,2195,Возникающий очаг,2017,301.1072083,662.2078247
3830,2196,Вырублено,2017,49.2118301,89.4288635
3831,2197,Вырублено,2017,51.1793022,172.4633942
3832,2198,Вырублено,2017,81.2902069,477.8588562
3833,2199,Действующий очаг,2017,149.1509857,337.9873657
3834,2200,Вырублено,2017,107.8836594,2064.954834
3835,2201,Вырублено,2017,93.263237,1267.0665283
3836,2202,Действующий очаг,2017,50.0095749,395.2558594
3837,2203,Вырублено,2017,105.3364182,218.9895172
3838,2204,Действующий очаг,2017,39.8599625,66.3959503
3839,2205,Возникающий очаг,2017,485.2805176,23498.5566406
3840,2206,Действующий очаг,2017,219.1289978,308.8204041
3841,2207,Действующий очаг,2017,81.575676,122.2552185
3842,2208,Возникающий очаг,2017,369.772522,19444.2636719
3843,2209,Возникающий очаг,2017,884.5675659,23817.6113281
3844,2210,Действующий очаг,2017,513.5640259,5744.3793945
3845,2211,Действующий очаг,2017,32.148632,25.5104828
